epoch,train_loss,roc_auc,pr_auc,brier_score,log_loss,f1,precision,recall,balanced_accuracy,threshold
1,0.9374815770920287,0.7642852339539412,0.5276738654213566,0.19358097366105698,0.5820027238498285,0.510178117048346,0.4413869014859659,0.6043707611152976,0.6935827698150852,0.5
2,0.8904449419772371,0.7686904407319316,0.5386950980326496,0.18421724165093004,0.5562707086021905,0.5150737652341244,0.4483528754885539,0.6051243406179352,0.6968484960098023,0.5
3,0.8821325073850915,0.7715364007281968,0.5459041491573186,0.17855809784867577,0.5419820819171153,0.5191186001296176,0.4553723706651506,0.6036171816126601,0.6993048458887182,0.5
4,0.8756947707622609,0.7746776322993238,0.5496400521820896,0.18670241259028478,0.5609277375907954,0.5166461159062885,0.4371413667188315,0.6314996232102487,0.7002993515152462,0.5
5,0.8700957057323861,0.7751083643454493,0.551074540521271,0.18599573210857573,0.5614219787739432,0.5200372786579683,0.44238900634249473,0.6307460437076111,0.7024905052691703,0.5
6,0.8660835141831256,0.7746560231289079,0.5513859756982966,0.17766412269845402,0.5406222209814421,0.527369826435247,0.4733373277411624,0.5953278070836473,0.703612972662303,0.5
7,0.8650569979180681,0.7770830232390501,0.553301537402077,0.18004485468120762,0.5442995495488676,0.5265544041450777,0.4616695059625213,0.6126601356443104,0.7048962993650613,0.5
8,0.8636152617474819,0.7780697882672203,0.5533601608403668,0.17389630614559068,0.5268828094405792,0.5384361596832729,0.4788732394366197,0.6149208741522231,0.7124465273821248,0.5
9,0.8628481487010388,0.7759328187018016,0.5516630136197437,0.18176277333912097,0.547801407236008,0.5279742765273312,0.46045989904655077,0.6186887716654107,0.7064126503308864,0.5
10,0.861592357463025,0.7768877343929782,0.5521651845551909,0.17834209618367303,0.5388744408794919,0.5280052407468064,0.46697566628041715,0.6073850791258478,0.70525470519528,0.5
11,0.8580594024759658,0.7798235175826885,0.5576768395005616,0.17984565320930285,0.5435270960219546,0.5305732484076433,0.4594594594594595,0.627731725697061,0.7090081697177795,0.5
12,0.8549485828014131,0.7791620995792502,0.550554264799226,0.18677979705744224,0.5601936106941343,0.5248009797917943,0.4419804022692109,0.6458176337603617,0.7071373638521474,0.5
13,0.8534193990078378,0.7773616847799356,0.553545601465103,0.18514954402028755,0.5561489179363357,0.5265822784810127,0.45390070921985815,0.6269781461944235,0.7063844293993731,0.5
14,0.851393664136846,0.7774716657816045,0.5545420106242838,0.17638066729128105,0.5335421542367683,0.5285620485883126,0.4682955206515416,0.6066314996232103,0.705519901320272,0.5
15,0.8522511796748384,0.778222987609721,0.5583342512200636,0.18357769709581723,0.5532339120154951,0.528125,0.45114789108382275,0.6367746797287114,0.7083937597231188,0.5
16,0.8486873761136481,0.7767543703337697,0.5577782697418457,0.17483247757258005,0.531314815669026,0.5339183260209247,0.4834963325183374,0.5960813865862848,0.7076276823793826,0.5
17,0.8489848641639061,0.7814430765266194,0.5636224282497168,0.1876819726852957,0.5615388968527489,0.5289457647775746,0.4439897698209719,0.6541070082893745,0.710747062886395,0.5
18,0.8485685181110463,0.7796743498018326,0.559954541678185,0.1832009327000594,0.550745358361972,0.5304839723444374,0.45498652291105124,0.6360211002260738,0.7098359299546804,0.5
19,0.8454237263253395,0.7803797118271989,0.5626136713118525,0.17460002444489958,0.5277733419998805,0.5363636363636364,0.47119224187107817,0.6224566691785983,0.7120415166992927,0.5
20,0.8446390844405965,0.7797729617996633,0.5630713602819172,0.1829758483408415,0.5503242649620289,0.529246168282765,0.45240641711229945,0.6375282592313489,0.7091985400586447,0.5
21,0.8428950436571812,0.7777293632019373,0.558631584260862,0.17135780701920172,0.5209859421207418,0.5381991814461119,0.491588785046729,0.5945742275810098,0.7099770346122468,0.5
22,0.8455813425652524,0.7811940872794393,0.5631272432130521,0.1810455990581197,0.5452894525953617,0.5355086372360844,0.4652584769316287,0.6307460437076111,0.7124412863519867,0.5
23,0.8406684398651123,0.7792869973590046,0.5621761548199681,0.1828983583115986,0.5519979154657929,0.533375314861461,0.458085451595457,0.6382818387339865,0.7119292780231028,0.5
24,0.8383216401363941,0.7794344718839697,0.5634922028223224,0.17585144551406143,0.5330972165183646,0.536697247706422,0.4747826086956522,0.6171816126601356,0.7116509390071489,0.5
25,0.8391309241031079,0.7776459905071237,0.5577893571035288,0.1856358217812878,0.5572599212617567,0.5295391277451283,0.4491080797481637,0.6450640542577242,0.7101844987744859,0.5
