group,n,default_rate,mean_score,false_positive_rate,false_negative_rate,approval_rate_at_threshold,group_variable
female,3598,0.21289605336297943,0.40778703644691505,0.3937146892655367,0.2154046997389034,0.5230683713173986,sex
male,2402,0.23355537052456288,0.4376609272081598,0.45464421510048886,0.18181818181818182,0.4604496253122398,sex
graduate_school,2130,0.19014084507042253,0.37733618721971834,0.34318840579710147,0.23209876543209876,0.576056338028169,education
high_school,1014,0.257396449704142,0.45676274605522676,0.4940239043824701,0.210727969348659,0.42998027613412226,education
other,82,0.06097560975609756,0.20190851028048779,0.06493506493506493,0.4,0.9024390243902439,education
university,2774,0.23648161499639508,0.44521964786193224,0.46411709159584513,0.17682926829268292,0.45097332372025956,education
married,2767,0.24141669678352007,0.4297954246581135,0.42734635540733684,0.19461077844311378,0.48138778460426457,marriage
other,75,0.16,0.44241363199999995,0.5238095238095238,0.25,0.44,marriage
single,3158,0.20487650411652944,0.4104035281383787,0.40700915969733176,0.2071097372488408,0.5139328689043698,marriage
