risk_decile,applicants,default_rate,mean_score,lift
1,600,0.6983333333333334,0.8913509416666666,3.157498116051243
2,600,0.42833333333333334,0.7160609557333334,1.9366993217784476
3,600,0.2783333333333333,0.569147488,1.258477769404672
4,600,0.18666666666666668,0.46278911478333334,0.8440090429540317
5,600,0.175,0.3981395779333333,0.7912584777694046
6,600,0.13666666666666666,0.3434982088,0.6179351921627732
7,600,0.10166666666666667,0.29109935011666666,0.45968349660889224
8,600,0.09166666666666666,0.23572494991666668,0.4144687264506405
9,600,0.065,0.17780892395,0.293896006028636
10,600,0.05,0.11184599625,0.22607385079125847
